BTC_PRICE,COUNT,MEAN,MEDIAN,SUM
9565.13,2902,0.22,0.18,632.15
9597.04,2579,0.18,0.14,477.1
9604.32,2678,0.2,0.17,527.02
9578.61,2623,0.18,0.18,478.97
9646.96,2825,0.2,0.18,560.45
9508.51,2419,0.18,0.18,441.42
9539.84,2305,0.18,0.17,423.28
9555,2157,0.21,0.18,442.88
9587.74,1989,0.18,0.15,356.77
9609.45,1951,0.17,0.16,335.08
9630,2284,0.2,0.18,447.5
9610.05,1706,0.18,0.16,310.81
9605.98,1667,0.2,0.18,340
9655.3,1683,0.21,0.18,350.9
9658.62,1550,0.22,0.19,336.95
9715.08,1442,0.2,0.18,295.33
9705.21,1367,0.21,0.18,282.23
9688.46,1451,0.21,0.18,299.15
9682.86,1606,0.2,0.19,327.79
9690.07,1897,0.25,0.25,466.12
9651.69,1903,0.22,0.22,422.81
9676.65,1770,0.24,0.23,422.07
9703.22,2071,0.24,0.2,488.93
9708.43,1938,0.21,0.18,406.62
9761.69,2057,0.23,0.22,472.05
9745.51,2398,0.23,0.22,557.55
9689.12,2557,0.2,0.18,507.01
9735.68,4131,0.07,-0.08,308.38
9739.94,2491,0.2,0.22,504.72
9716.79,2365,0.21,0.2,507.92
9715.26,1786,0.21,0.21,368.81
9695.82,2249,0.18,0.19,396.45
9713.86,1947,0.17,0.18,326.99
9674.14,1714,0.19,0.2,328.49
9676.98,1550,0.17,0.18,266.34
9698.69,1691,0.18,0.19,306.94
9704.23,1557,0.2,0.22,312.29
9669.41,1744,0.21,0.23,372.82
9660.74,1530,0.23,0.24,352.7
9676.21,1234,0.22,0.23,266.2
9633.23,1362,0.22,0.21,293.32
9629.24,1214,0.22,0.2,266.75
9615.45,1464,0.22,0.19,319.74
9609.69,1709,0.24,0.26,409.01
9648.41,2376,0.21,0.2,490.21
9629.11,2030,0.23,0.24,457.28
9641.66,1895,0.24,0.25,458.7
9655.33,2283,0.22,0.23,509.99
9662.34,1900,0.25,0.25,481.24
9668.04,1935,0.24,0.23,466.01
9662.24,2137,0.2,0.2,423.49
9643.94,2842,0.23,0.23,640.63
9661.01,2222,0.21,0.21,461.51
9668.77,2160,0.19,0.19,403.72
9680.01,1825,0.23,0.24,412.83
9690.34,1999,0.29,0.25,576.56
9700.01,1681,0.21,0.22,358.42
9695.84,1716,0.25,0.25,423.31
9683.41,1675,0.25,0.25,415.97
9668.62,1646,0.2,0.19,334.92
9694.22,1413,0.24,0.22,341.37
9680.6,1459,0.26,0.26,379.45
9700.47,1450,0.24,0.23,350.43
9808.12,1318,0.27,0.26,355.51
9870.78,1534,0.26,0.26,398.82
9900,1539,0.25,0.25,378.55
9920.22,1571,0.28,0.27,434.81
9911.62,1532,0.28,0.27,425.24
9908.76,2079,0.29,0.29,611.58
9914.73,2156,0.25,0.24,538.89
9874.55,2094,0.29,0.26,603.49
9861.49,1928,0.28,0.26,537.22
9870.18,2014,0.26,0.29,530.68
9892.52,2194,0.19,0.23,406.36
9924.95,2434,0.23,0.23,565.74
9893.05,2194,0.24,0.24,520.3
9900.31,2043,0.23,0.23,470.09
9900.69,2118,0.23,0.24,493.73
9905.04,2333,0.25,0.25,594.8
9906.1,2026,0.22,0.21,444.34
9884.02,1883,0.21,0.22,400.39
9885.01,1662,0.19,0.18,315.03
9930.95,1627,0.22,0.24,355.56
9988.01,1718,0.21,0.25,363.94
9970.62,1510,0.2,0.2,298.07
9908.91,1621,0.2,0.2,318.15
9756.19,1723,0.21,0.2,359.51
9774.82,1857,0.3,0.3,548.8
9771.01,1643,0.19,0.18,311.27
9771.48,1634,0.26,0.24,422.78
9736.73,1599,0.22,0.23,352.88
9753.05,1828,0.21,0.22,383.77
9765.94,1841,0.23,0.24,417.28
9719.99,1789,0.24,0.24,432.48
9755.86,1891,0.23,0.24,439.99
9829.11,2441,0.19,0.18,455.12
9803,2321,0.23,0.23,544.32
9750.38,2451,0.22,0.24,538.54
9754,2825,0.22,0.23,619.64
9710.19,3174,0.2,0.23,648.52
9655,3019,0.21,0.22,638.97
9601.03,3266,0.22,0.24,718.4
9580.44,2918,0.18,0.17,533.78
9594.33,2455,0.22,0.24,541.53
9592.21,2251,0.23,0.24,516.25
9605.42,2159,0.19,0.2,399.48
9640,1947,0.25,0.25,492.69
9660,2078,0.23,0.25,486.93
9616.34,1810,0.23,0.24,419.1
9588.41,1739,0.24,0.24,418.03
9610.29,1583,0.25,0.25,393.33
9583.37,1684,0.26,0.26,431.13
9573,1512,0.25,0.25,373.98
9552.16,1817,0.22,0.23,402.95
9545,1610,0.22,0.2,361.7
9520.85,2233,0.28,0.25,633.21
9553.59,2281,0.26,0.27,603.97
9570.09,2084,0.24,0.24,508.59
9559.04,1979,0.25,0.25,504.43
9631.51,2123,0.23,0.25,489.21
9619.42,2529,0.19,0.23,489.89
9575,2331,0.2,0.2,458.18
9396.15,2751,0.21,0.24,572.69
9380.26,2518,0.21,0.24,528.84
9307.13,3158,0.25,0.29,804.01
9332.74,2720,0.2,0.23,551.11
9372.25,2548,0.21,0.23,540.04
9342.84,2645,0.23,0.2,596.63
9316.74,2827,0.22,0.25,630.42
9379.25,2346,0.22,0.23,517
9389.99,2256,0.24,0.26,548.91
9304.99,2086,0.26,0.26,551.98
9304.69,1677,0.21,0.23,357.09
9193.96,1705,0.2,0.2,332.63
9194.99,1823,0.23,0.23,413.94
9144.41,1964,0.23,0.25,445.37
9166.44,1782,0.24,0.26,423.79
9188.85,1984,0.2,0.24,404.92
9208,1642,0.21,0.23,340.34
9129.8,1923,0.23,0.25,441.68
9177.37,2217,0.24,0.26,536.43
9112.81,2041,0.22,0.22,445.66
9159.44,1885,0.27,0.26,504.12
9142.8,1859,0.19,0.2,344.76
9269.9,2188,0.23,0.24,502.23
9073.34,2134,0.21,0.25,447.3
9027.94,2828,0.21,0.21,585.25
8981.01,2649,0.2,0.23,542.71
8734.44,3357,0.19,0.22,645
8710.28,2796,0.2,0.21,554.36
8832.59,2556,0.19,0.18,486.21
8823.75,1954,0.2,0.22,382.03
8795.22,2131,0.19,0.2,415.4
8745.63,1886,0.2,0.22,372.66
8781.62,1810,0.18,0.2,332.87
8780.23,1485,0.19,0.19,277.1
8639.12,1479,0.19,0.2,286.46
8688.5,1575,0.2,0.21,313.42
8690.99,1422,0.22,0.22,313.35
8732.75,1460,0.23,0.24,334.42
8713.55,1446,0.23,0.22,336.26
8758.73,1528,0.28,0.32,433.4
8807.78,1686,0.23,0.26,391.17
8813.21,1804,0.24,0.29,441.77
8786.15,1747,0.22,0.22,385.71
8748.04,1864,0.25,0.3,470.78
8812.87,1692,0.23,0.25,390.72
8808.88,1745,0.25,0.26,430.65
8774.92,2186,0.26,0.27,566.56
8830.79,2426,0.24,0.24,582.94
8859.3,2277,0.22,0.24,504.92
8849.19,2698,0.22,0.21,603.46
8940.81,2703,0.23,0.23,616.65
8918.4,2258,0.2,0.21,449.08
8887.83,2339,0.24,0.25,552.59
8909.09,2302,0.25,0.25,582.83
8888.28,2001,0.23,0.25,452.19
8755.46,2024,0.2,0.21,409.18
8792.65,1914,0.23,0.24,444.46
8810.57,1697,0.23,0.24,396.56
8856.92,1732,0.22,0.23,386.59
8894.27,1602,0.26,0.26,417.3
8874.08,1464,0.22,0.23,327.41
8847.01,1953,0.27,0.25,531.08
8837.36,1603,0.2,0.2,327.36
8789.99,1670,0.22,0.21,371.94
8782.93,1552,0.2,0.22,317.96
8729.21,1509,0.22,0.22,329.73
8711.24,1673,0.22,0.21,361.82
8603.12,1851,0.27,0.3,507.53
8582.67,1815,0.21,0.23,376.96
8573.66,1861,0.25,0.25,462.97
8511.65,2206,0.22,0.21,491.97
8660.01,2277,0.23,0.23,528.4
8660,3206,0.24,0.25,757.18
8713.47,2532,0.22,0.23,552.88
8636.44,2628,0.16,0.15,420.86
8561.99,8845,0.62,0.78,5485.07
8543.42,6972,0.57,0.78,4001.75
8565.47,5067,0.53,0.78,2708.3
8614.28,8339,0.63,0.78,5258.81
8674.61,9066,0.66,0.78,5981.34
8793.95,4792,0.58,0.78,2801.65
8708.89,2922,0.5,0.72,1474.9
8733.65,2266,0.44,0.56,991.19
8696.93,1771,0.4,0.44,711.1
8727.37,1726,0.36,0.35,613.04
8731.8,1744,0.36,0.39,623.75
8760.68,1514,0.37,0.39,558.05
8778.74,1451,0.31,0.32,454.51
8732.94,1438,0.29,0.29,417.42
8768.37,1568,0.27,0.26,428.3
8760.37,1743,0.25,0.26,440.21
8702.32,1676,0.3,0.29,507.09
8648.19,1684,0.27,0.25,456.76
8708.54,1498,0.28,0.28,423.48
8672.43,1900,0.28,0.25,532.14
8646.68,1752,0.26,0.25,458.63
8631.72,2010,0.27,0.26,543.51
8664.17,2458,0.25,0.27,619.98
8613.3,2355,0.25,0.25,591.21
8663.98,1828,0.22,0.23,398.8
8671.43,1819,0.21,0.24,390.13
8675,1624,0.23,0.24,378.36
8658.04,1457,0.21,0.21,307.32
8634.26,1372,0.25,0.28,345.1
8636.8,1308,0.24,0.26,310.62
8523.43,1576,0.23,0.26,367.75
8539.9,1404,0.23,0.25,321.74
8640.16,1409,0.26,0.29,368.9
8628.09,1346,0.23,0.26,313.55
8611.72,1288,0.23,0.23,290.41
8577.82,1337,0.26,0.25,345.08
8588.48,1160,0.21,0.24,247.02
8549.99,1344,0.25,0.31,330.08
8550.88,1371,0.25,0.33,349.22
8529.33,1889,0.24,0.3,454.35
8537.79,1664,0.25,0.32,408.17
8569.73,1782,0.28,0.33,502.37
8647.93,1682,0.28,0.33,476.84
8566.54,2059,0.28,0.33,578.71
8611.86,2090,0.24,0.32,509.38
8563.54,2268,0.25,0.32,571.47
8551.91,2371,0.25,0.32,585.6
8519.51,2241,0.25,0.32,565.17
8495.53,2238,0.18,0.23,412.84
8442.01,2127,0.18,0.21,393.48
8530.01,1876,0.22,0.25,410.79
8480.78,1488,0.21,0.23,306.5
8511.09,1488,0.17,0.2,252.52
8547.58,1439,0.13,0.15,189.25
8533.26,1287,0.16,0.18,209.49
8549.84,1412,0.19,0.2,264.71
8553,1561,0.21,0.26,328.1
8621.86,1345,0.2,0.26,266.96
8602.9,1370,0.2,0.26,269.25
8643.88,1244,0.23,0.26,285.17
8656.23,1343,0.22,0.26,296.5
8625.32,1574,0.21,0.26,322.87
8622.55,1900,0.27,0.33,510.63
8661.69,2009,0.25,0.3,495.6
8692.66,1865,0.26,0.32,490.4
8722.86,1896,0.26,0.3,491.77
8751.5,2262,0.22,0.27,500.2
8755.52,2018,0.22,0.25,445.85
8832.34,2203,0.24,0.26,520.8
8809.49,2457,0.24,0.29,595.74
8829.98,2361,0.22,0.25,517.11
8866.93,2263,0.23,0.26,527.11
8871.99,2324,0.19,0.23,452.22
8869.17,2273,0.21,0.24,488.57
8892.82,2280,0.2,0.24,459.4
8894.17,1900,0.21,0.22,398.24
8944.3,2095,0.16,0.17,339.53
8928.12,1723,0.17,0.18,298.05
8913.95,1575,0.17,0.18,270.03
8851.01,1447,0.19,0.23,280.26
8830.01,1591,0.18,0.21,293.53
8874.18,1445,0.2,0.2,285.16
8893.22,1485,0.19,0.2,286.25
8850.11,1337,0.24,0.26,326.72
8860.53,1394,0.23,0.23,316.01
8792.56,1614,0.22,0.24,357.12
8758.55,1821,0.23,0.26,414.94
8783.72,2335,0.16,0.09,362.12
8828.96,2104,0.22,0.21,458.18
8840.01,1951,0.2,0.17,398.91
8878.51,1857,0.2,0.18,366.95
8799.03,2095,0.22,0.21,457.7
8811.31,2348,0.22,0.25,517.41
8745.25,2133,0.25,0.26,524.81
8756.35,2832,0.18,0.18,515
8698.99,2798,0.19,0.21,523.92
8720.51,2682,0.14,0.16,387.91
8717.03,2243,0.14,0.16,313.43
8711.41,2052,0.17,0.18,352
8707.78,1946,0.18,0.19,341.83
8736.18,975,0.19,0.21,182.3
8781.09,1817,0.17,0.17,305.06
8756.07,1634,0.17,0.16,270.75
8776.49,1640,0.17,0.17,277.18
8792.88,1661,0.19,0.19,311.5
8808.02,1564,0.21,0.24,330.72
8787.81,1666,0.25,0.25,409.39
8829.34,1659,0.28,0.28,461.91
8843.12,2878,0.16,0.16,449.93
8789.86,2466,0.17,0.18,420.7
8818.41,2588,0.19,0.22,495.77
8824.77,2669,0.2,0.21,536.45
8755.97,2489,0.18,0.19,459.46
8739.21,2292,0.23,0.26,517.58
8721.34,2436,0.2,0.22,481.35
8730.18,2828,0.22,0.24,621.86
8762.84,3206,0.22,0.26,705.63
8726.28,2854,0.21,0.23,608.99
8707.59,3022,0.26,0.28,784.2
8718.67,2707,0.18,0.2,498.35
8732.12,2553,0.2,0.21,515.01
8724.3,2567,0.2,0.21,504.37
8745.15,2327,0.2,0.2,472.67
8709,2040,0.2,0.21,410.17
8733.19,1785,0.21,0.2,373.46
8748.99,1732,0.2,0.2,348.58
8760,1609,0.23,0.23,370.78
8873.22,1564,0.21,0.21,334.05
8883.38,1501,0.22,0.24,335.52
8936.96,2010,0.32,0.35,647.55
8884.67,1657,0.24,0.26,405.46
8910.77,1701,0.25,0.25,418.63
8934.83,1639,0.25,0.26,404
8940,1660,0.26,0.27,423.96
8907.53,1787,0.26,0.28,469.42
8932.56,1875,0.24,0.23,447.04
9090.06,2345,0.23,0.2,536.95
9096,2223,0.24,0.22,533.86
9109.99,2390,0.28,0.27,668.54
9089.6,2453,0.25,0.22,610.46
9095.96,2870,0.27,0.25,778.71
9041.07,3389,0.28,0.28,940.38
9098.22,2951,0.25,0.26,748.22
9100,3059,0.29,0.3,893.73
9109.97,3303,0.3,0.31,974.93
9130,2940,0.24,0.27,698.51
9164.75,2385,0.22,0.26,523.34
9125,2242,0.23,0.26,523.51
9119.73,2221,0.22,0.25,497.44
9073.84,1875,0.23,0.25,439.68
9073.76,1649,0.24,0.26,395.94
9002.66,1759,0.27,0.28,470.75
9029.02,1684,0.28,0.28,469.09
9073.87,1575,0.28,0.29,436.39
9050.3,1463,0.27,0.28,390.33
9059.78,1641,0.3,0.31,495.67
9123.73,1649,0.28,0.29,469.09
9109.82,1698,0.28,0.29,480.64
9109.36,1903,0.27,0.3,519.71
9123.62,1803,0.26,0.28,468.88
9123.5,1681,0.26,0.28,435.92
9157.99,1937,0.24,0.25,467.02
9145.1,2272,0.27,0.26,603.55
9127.03,2098,0.27,0.29,559.18
9076.01,1954,0.26,0.28,510.52
9088.57,2170,0.24,0.24,516.98
9034.52,2090,0.27,0.3,557.82
9074.54,2385,0.2,0.24,472.99
9090.5,2023,0.19,0.2,381.85
9084.2,1759,0.19,0.2,340.36
9101.31,1734,0.23,0.27,397.68
9118.83,1697,0.21,0.22,352.5
9138.07,1239,0.2,0.22,252.15
9126.64,1397,0.22,0.26,312.35
9158.51,1344,0.25,0.26,329.38
9146.53,1315,0.22,0.25,287.67
9112.41,1186,0.24,0.25,280.51
9120.72,1401,0.23,0.25,326.75
9114.34,1306,0.23,0.25,297.31
9093.42,1280,0.24,0.26,305.18
9100.1,1162,0.26,0.27,303.44
9093,1327,0.31,0.34,415.14
9105.01,1305,0.27,0.28,348.48
9122.51,1790,0.26,0.3,465.01
9134.39,1694,0.28,0.3,478.47
9115.99,1503,0.26,0.28,395.17
9115.27,1448,0.25,0.26,367.98
9105.16,1535,0.26,0.28,398.96
9103.96,1941,0.28,0.34,542.68
9130.62,1832,0.25,0.28,466.44
9137.78,2031,0.26,0.3,523.1
9054.61,2254,0.25,0.26,570.73
8937.33,1852,0.24,0.26,446.99
8890,1829,0.23,0.25,414.7
8904.39,1654,0.26,0.28,425.84
8890.62,1410,0.19,0.2,264.06
8891.07,1326,0.23,0.25,306.33
8924.75,1307,0.19,0.22,248.13
8901.37,1224,0.17,0.18,207.82
8795.01,1058,0.16,0.17,165.32
8768.43,1093,0.22,0.25,243.48
8730.63,1119,0.22,0.28,244.9
8754.64,1064,0.24,0.28,252.86
8749.01,1019,0.24,0.26,243.51
8734.69,1078,0.28,0.33,297.47
8733.82,1072,0.24,0.26,257.42
8750.49,1260,0.3,0.33,382.71
8739.75,1384,0.25,0.27,345.07
8726.14,1371,0.24,0.25,329.71
8744.81,1527,0.26,0.33,399.37
8759,1293,0.23,0.25,299.3
8689.75,1434,0.24,0.25,343.26
8665.9,1569,0.23,0.25,359.73
8581.61,1965,0.19,0.22,368.56
8404.26,2369,0.2,0.23,471.1
8291.36,2724,0.15,0.17,405.02
8320.91,3408,-0.04,-0.07,-146.68
8302.37,4469,-0.2,-0.46,-878.97
8293.76,3024,-0.06,-0.06,-178.37
8273.66,2263,-0.03,-0.04,-70.14
8260.01,2061,-0.01,-0.01,-27.11
8171.49,1977,0.01,0.04,24.03
8037.76,1923,0.04,0.09,73.23
8087.13,1877,0.06,0.1,114.89
8096.93,1613,0.12,0.15,191.39
8041.99,1766,0.14,0.17,248.87
8071.54,1774,0.16,0.18,278.36
7862.24,2150,0.17,0.22,371.33
7940.61,2116,0.14,0.2,286.89
7871.99,2056,0.12,0.17,246.6
7912.4,2193,0.17,0.25,372.82
7981.55,2284,0.13,0.18,293.67
7895.01,2106,0.15,0.23,306.92
